(unsloth_env) hsbcpoc@e87wgt814tvcff7:~/ft/deepseek-r1-distill-training$ python sft.py 
🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
🦥 Unsloth Zoo will now patch everything to make training faster!
==((====))==  Unsloth 2025.2.4: Fast Qwen2 patching. Transformers: 4.48.3.
   \\   /|    GPU: NVIDIA L20. Max memory: 44.403 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.5.1. CUDA: 8.9. CUDA Toolkit: 12.1. Triton: 3.1.0
\        /    Bfloat16 = TRUE. FA [Xformers = 0.0.28.post3. FA2 = False]
 "-____-"     Free Apache license: http://github.com/unslothai/unsloth
Loading checkpoint shards: 100%|██████████████| 2/2 [00:01<00:00,  1.47it/s]
Unsloth 2025.2.4 patched 28 layers with 28 QKV layers, 28 O layers and 28 MLP layers.
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs = 1
   \\   /|    Num examples = 1,813 | Num Epochs = 1
O^O/ \_/ \    Batch size per device = 2 | Gradient Accumulation steps = 4
\        /    Total batch size = 8 | Total steps = 60
 "-____-"     Number of trainable parameters = 40,370,176
{'loss': 2.4626, 'grad_norm': 0.23657076060771942, 'learning_rate': 4e-05, 'epoch': 0.0}
{'loss': 2.6449, 'grad_norm': 0.2542092502117157, 'learning_rate': 8e-05, 'epoch': 0.01}
{'loss': 2.4496, 'grad_norm': 0.24505223333835602, 'learning_rate': 0.00012, 'epoch': 0.01}
{'loss': 2.6551, 'grad_norm': 0.2871650755405426, 'learning_rate': 0.00016, 'epoch': 0.02}
{'loss': 2.487, 'grad_norm': 0.2949400544166565, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 2.5452, 'grad_norm': 0.34619370102882385, 'learning_rate': 0.00019636363636363636, 'epoch': 0.03}
{'loss': 2.2103, 'grad_norm': 0.28624817728996277, 'learning_rate': 0.00019272727272727274, 'epoch': 0.03}
{'loss': 2.3421, 'grad_norm': 0.27547386288642883, 'learning_rate': 0.0001890909090909091, 'epoch': 0.04}
{'loss': 2.2575, 'grad_norm': 0.2309197187423706, 'learning_rate': 0.00018545454545454545, 'epoch': 0.04}
{'loss': 2.0472, 'grad_norm': 0.19436001777648926, 'learning_rate': 0.00018181818181818183, 'epoch': 0.04}
