(unsloth_env) hsbcpoc@e87wgt814tvcff7:~/ft/deepseek-r1-distill-training$ python sft.py 
🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
🦥 Unsloth Zoo will now patch everything to make training faster!
==((====))==  Unsloth 2025.2.4: Fast Qwen2 patching. Transformers: 4.48.3.
   \\   /|    GPU: NVIDIA L20. Max memory: 44.403 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.5.1. CUDA: 8.9. CUDA Toolkit: 12.1. Triton: 3.1.0
\        /    Bfloat16 = TRUE. FA [Xformers = 0.0.28.post3. FA2 = False]
 "-____-"     Free Apache license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
Loading checkpoint shards: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:01<00:00,  1.56it/s]
data-00000-of-00001.arrow: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 34.4M/34.4M [00:08<00:00, 4.21MB/s]
Generating train split: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3043/3043 [00:00<00:00, 158618.87 examples/s]
Map: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3043/3043 [00:00<00:00, 16006.67 examples/s]
Unsloth 2025.2.4 patched 28 layers with 28 QKV layers, 28 O layers and 28 MLP layers.
Map: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3043/3043 [00:02<00:00, 1020.25 examples/s]
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs = 1
   \\   /|    Num examples = 3,043 | Num Epochs = 1
O^O/ \_/ \    Batch size per device = 2 | Gradient Accumulation steps = 4
\        /    Total batch size = 8 | Total steps = 60
 "-____-"     Number of trainable parameters = 40,370,176
{'loss': 2.418, 'grad_norm': 0.23510587215423584, 'learning_rate': 4e-05, 'epoch': 0.0}                                                                                                 
{'loss': 2.5383, 'grad_norm': 0.26529473066329956, 'learning_rate': 8e-05, 'epoch': 0.01}                                                                                               
{'loss': 2.4189, 'grad_norm': 0.23222616314888, 'learning_rate': 0.00012, 'epoch': 0.01}                                                                                                
{'loss': 2.5909, 'grad_norm': 0.27765750885009766, 'learning_rate': 0.00016, 'epoch': 0.01}                                                                                             
{'loss': 2.3909, 'grad_norm': 0.29608646035194397, 'learning_rate': 0.0002, 'epoch': 0.01}                                                                                              
{'loss': 2.5181, 'grad_norm': 0.3352624177932739, 'learning_rate': 0.00019636363636363636, 'epoch': 0.02}                                                                               
{'loss': 2.4459, 'grad_norm': 0.3177672326564789, 'learning_rate': 0.00019272727272727274, 'epoch': 0.02}                                                                               
{'loss': 2.1989, 'grad_norm': 0.24071528017520905, 'learning_rate': 0.0001890909090909091, 'epoch': 0.02}                                                                               
{'loss': 2.115, 'grad_norm': 0.20676562190055847, 'learning_rate': 0.00018545454545454545, 'epoch': 0.02}                                                                               
{'loss': 2.0792, 'grad_norm': 0.1927689015865326, 'learning_rate': 0.00018181818181818183, 'epoch': 0.03}                                                                               
{'loss': 2.0879, 'grad_norm': 0.17792010307312012, 'learning_rate': 0.0001781818181818182, 'epoch': 0.03}                                                                               
{'loss': 1.9999, 'grad_norm': 0.18845652043819427, 'learning_rate': 0.00017454545454545454, 'epoch': 0.03}                                                                              
{'loss': 1.9644, 'grad_norm': 0.19604745507240295, 'learning_rate': 0.0001709090909090909, 'epoch': 0.03}                                                                               
{'loss': 1.8234, 'grad_norm': 0.1961524486541748, 'learning_rate': 0.00016727272727272728, 'epoch': 0.04}                                                                               
{'loss': 1.9332, 'grad_norm': 0.2667727470397949, 'learning_rate': 0.00016363636363636366, 'epoch': 0.04}                                                                               
{'loss': 1.8054, 'grad_norm': 0.3197169601917267, 'learning_rate': 0.00016, 'epoch': 0.04}                                                                                              
{'loss': 1.9431, 'grad_norm': 0.28355562686920166, 'learning_rate': 0.00015636363636363637, 'epoch': 0.04}                                                                              
{'loss': 1.8125, 'grad_norm': 0.2990604043006897, 'learning_rate': 0.00015272727272727275, 'epoch': 0.05}                                                                               
